"Year","Discharge"
"1960","5634.765"
"1965","5290.8213"
"1970","6428.4897"
"1975","6896.875"
"1980","6166.0464"
"1985","6197.3887"
"1990","5891.5464"
"1995","5394.9014"
"2000","7502.3867"
"2005","6677.589"
"2010","6576.874"
"2015","6588.3228"
"2020","6295.7397"
"2025","6858.5186"
"2030","7676.0728"
"2035","7008.3955"
"2040","6861.5884"
"2045","6023.618"
"2050","6896.003"
"2055","6982.6562"
"2060","7961.1826"
"2065","9298.256"
"2070","8434.625"
"2075","7969.069"
"2080","9137.327"
"2085","9006.064"
"2090","8676.342"
"2095","8161.5806"
"2100","8022.813"
